SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1463,3,3,Suburb,2017,169378.784817222
2372,4,3,Suburb,2019,248599.107661219
2794,4,3,Rural,1966,411678.028427132
1659,4,2,Suburb,1980,119032.882983417
1763,5,1,Suburb,1963,230075.049815662
1954,4,2,Urban,1998,122604.956165847
2955,3,2,Rural,2016,296998.838109315
1402,2,2,Rural,1970,109470.142731406
2369,2,2,Suburb,1962,246212.197315072
2986,3,1,Rural,1999,310583.075859074
2534,5,3,Rural,2017,233756.886382181
1146,3,3,Urban,1961,100102.225245951
2171,4,2,Urban,1997,199324.840699865
1863,5,1,Rural,2013,331026.596360988
2734,3,2,Urban,1964,231041.348374599
2843,5,1,Suburb,1965,333530.063374322
1488,2,2,Urban,2021,61092.6612344902
1928,3,3,Suburb,1999,205778.312441266
2959,3,3,Urban,1990,384570.736451437
2663,2,2,Rural,1953,339772.952737209
1550,5,3,Suburb,1969,186745.12964094
1337,2,2,Urban,1957,185559.080190014
1871,5,1,Urban,2017,213894.314631549
1640,3,1,Suburb,1996,180978.015682802
2802,5,1,Urban,1982,243011.574730766
2976,5,1,Rural,1954,265075.948204332
1472,4,2,Suburb,2017,163315.12699993
2969,4,3,Rural,1990,384847.049904619
1150,4,1,Suburb,2010,190479.198941017
2438,2,3,Suburb,1973,204129.214325561
2321,2,2,Suburb,1976,249930.117629662
2634,4,3,Suburb,1978,372750.474809396
1262,3,3,Rural,2016,189650.20106156
2787,3,3,Rural,1986,308299.312080621
1143,3,2,Suburb,2002,95784.0740170802
1345,2,2,Suburb,1951,165456.118413188
1623,5,2,Rural,1986,236531.665536067
2016,2,3,Suburb,2021,212190.754931357
2595,4,1,Suburb,2014,298280.360684473
1880,5,1,Rural,1997,172765.250925906
1001,3,3,Rural,1998,151917.353637628
1896,2,1,Rural,1996,196497.06930441
2327,2,1,Urban,1953,212603.170169529
1253,4,3,Suburb,1952,205827.913721358
2675,3,2,Rural,1985,350608.132306865
1452,2,1,Suburb,1955,64055.9143787576
2060,2,2,Urban,1983,202645.468736526
2183,5,1,Rural,2001,215636.305823846
2014,2,3,Rural,1980,210336.981488612
1008,5,3,Suburb,1983,161063.736072891
2256,2,2,Suburb,1991,162732.681004541
2122,3,2,Rural,1997,283190.390583938
2682,4,2,Rural,2005,257018.557144566
1815,3,2,Suburb,1967,161315.088811995
1207,4,3,Suburb,1963,171344.512599504
2154,2,3,Rural,2018,301758.327778663
1403,3,3,Urban,2007,186512.318661569
1151,5,2,Suburb,2019,147961.739863364
1053,4,3,Suburb,2005,96856.0932254072
2143,4,3,Suburb,2002,241976.241747052
2696,2,1,Rural,2018,256546.845817149
2943,4,1,Rural,2009,245612.125034466
1627,4,1,Rural,1981,192616.910728997
1586,4,2,Suburb,1996,234537.625343716
2648,2,2,Suburb,1971,266525.801630131
2991,3,3,Urban,1953,411274.817210201
2443,2,3,Rural,1974,241617.273766231
2445,5,2,Rural,2010,230463.815355629
1103,4,1,Suburb,1961,249885.946964308
2875,4,3,Suburb,1980,320712.173947189
1253,3,1,Urban,1950,131536.163575143
2250,4,3,Suburb,2010,258681.648569479
2135,3,1,Suburb,1955,236721.579710059
1509,4,3,Suburb,1971,152417.959384442
2496,4,1,Urban,1961,277449.016356612
1098,2,1,Urban,1972,97639.6442035043
1152,2,2,Urban,1984,68864.7280370649
2884,5,3,Urban,1963,292602.020239075
1913,3,1,Urban,1979,163126.634627985
2919,5,2,Rural,1971,316117.156588517
1877,2,3,Suburb,1965,173591.515754374
1337,3,2,Urban,2020,245240.869347823
2729,2,1,Urban,1964,299136.080958987
1821,3,3,Urban,1951,102620.911771543
2186,4,1,Urban,1971,174740.910127422
2743,5,1,Suburb,2012,303839.762212348
1956,5,2,Suburb,1964,255500.650295653
2704,3,1,Rural,1968,305226.148000234
1160,5,3,Suburb,1970,174048.919562519
2603,2,2,Urban,1976,240369.940710327
1800,5,1,Urban,1968,310732.593016961
1397,3,1,Urban,1975,125680.081652652
2300,5,1,Urban,1998,303253.753106942
1815,5,2,Suburb,2007,137931.976593765
2939,2,3,Suburb,2016,238181.444574142
2527,4,2,Rural,1974,299144.48340112
2919,2,1,Suburb,1971,340122.358682858
2415,5,2,Urban,1963,230193.178723185
2158,5,1,Urban,1958,300494.896588793
2218,4,2,Suburb,1971,267560.268784043
1400,4,1,Rural,1964,173748.309012958
1639,2,2,Rural,1989,198112.873202899
2056,4,1,Suburb,2014,237224.428205652
1687,2,1,Suburb,2002,130383.649751031
1459,3,2,Suburb,1980,248587.290057909
1954,5,2,Urban,1959,268826.741031446
2906,4,1,Suburb,1983,307426.13760987
1469,3,3,Suburb,1986,224293.972187008
2398,3,1,Rural,1962,335992.378847966
2045,2,1,Rural,1987,265649.084302964
1749,2,3,Urban,1994,218960.647231099
2693,4,1,Rural,1959,257512.558546102
1037,2,2,Rural,1971,86619.3046619419
1229,3,2,Suburb,2010,48780.1121279735
2388,3,3,Rural,1987,274896.261562006
1562,5,1,Rural,2007,181237.831725944
1437,3,2,Rural,1975,49052.3709607793
2799,4,1,Rural,1998,182649.238274654
2306,5,3,Rural,2011,347942.005261698
1026,2,2,Rural,1958,31998.0156770314
1225,5,3,Rural,2009,181103.263489124
2300,3,1,Rural,1979,172216.083310792
1797,4,1,Urban,1970,273262.851673803
2632,2,1,Suburb,1999,306987.051614779
1283,2,3,Rural,1978,172933.772039102
1878,3,2,Suburb,1989,159685.446721502
1959,4,3,Rural,1966,244916.465796831
2504,3,2,Urban,2017,250927.641641112
1452,3,1,Rural,2013,86276.3324204073
2019,4,1,Urban,1972,209029.948572519
2852,3,3,Rural,1956,267060.030769357
1815,4,2,Rural,1983,158867.819901144
1658,4,1,Suburb,1973,200254.718705351
2539,3,1,Rural,1956,197039.394922542
1546,3,3,Rural,1957,251427.155383011
2215,5,3,Urban,1952,298798.857466112
2072,2,2,Suburb,1953,209615.383786078
2535,2,1,Rural,2012,343628.229622014
1016,4,2,Suburb,2015,86742.6981557283
2195,5,2,Suburb,2018,260504.830695609
2243,4,2,Rural,1959,267664.331211014
1157,5,3,Rural,2012,87137.890454451
1476,4,2,Rural,1986,217625.442714494
2069,2,2,Rural,2021,179619.681058891
2396,5,2,Rural,1952,304272.542767643
1517,3,3,Suburb,1978,180446.939201447
1098,3,3,Urban,2011,96810.1554379781
2915,2,1,Suburb,1982,293526.347876439
2768,5,3,Rural,2009,333027.907642623
2060,3,3,Suburb,1991,261561.331423236
1279,3,2,Urban,2011,60826.5300881568
2372,3,1,Suburb,1955,278442.163455985
1496,2,3,Rural,1998,123828.103606929
1301,4,1,Rural,2021,88586.0572983957
1180,3,2,Rural,1992,134443.897461959
1606,3,3,Urban,1958,136925.17083144
2122,4,2,Rural,2000,234164.890955966
1699,3,2,Rural,1963,150304.549439992
1992,5,1,Rural,1973,240050.495983406
2139,3,3,Rural,2021,277542.703481546
1190,4,1,Suburb,1982,197241.251787007
1252,2,2,Rural,1978,101805.598079315
1980,2,3,Suburb,1951,197810.622273204
1927,5,2,Urban,2001,172279.064905735
2184,3,1,Suburb,1994,205236.283907565
2279,3,1,Suburb,1987,206408.533231739
2346,4,2,Suburb,1994,279439.98438546
1127,4,1,Suburb,1965,127174.722594611
1017,5,1,Suburb,1996,127458.039008922
2816,5,2,Suburb,1974,356063.829221029
2758,3,3,Urban,2006,344787.619393058
1565,3,3,Rural,1968,153282.851591039
1569,5,3,Urban,1987,23125.9966819857
2346,2,2,Suburb,2015,297939.723210223
2895,2,2,Suburb,1956,348536.613627141
1685,2,1,Suburb,1969,145096.734853981
2815,2,3,Urban,1953,316533.462159993
1625,5,1,Suburb,1964,273166.559954661
2311,4,2,Urban,2013,343467.413930725
2966,2,3,Suburb,2006,258865.961319416
1853,5,2,Suburb,1999,197763.065323339
2686,2,1,Urban,1966,196431.161814851
1961,3,1,Urban,1965,192271.571441332
2662,2,2,Urban,1952,252805.984686744
1154,5,2,Urban,1994,20075.4860939393
1489,3,3,Suburb,1993,225167.542291859
2409,3,2,Suburb,2011,333108.701512416
1784,2,1,Rural,1958,253462.841224931
2127,2,1,Suburb,2009,273921.244302614
2952,3,2,Suburb,2006,230500.450573003
2416,4,2,Suburb,2010,361696.081039689
2834,5,3,Suburb,2013,319789.846609786
1245,5,1,Suburb,1966,174765.256712796
2199,5,1,Rural,2007,300718.816645502
2062,5,1,Urban,1996,261326.850937009
2500,5,2,Suburb,2001,363561.909444792
2705,3,1,Suburb,1967,251734.589010233
1758,5,2,Urban,1986,280965.895019333
1537,4,3,Urban,2019,110904.325607989
2890,4,2,Rural,1966,335743.308908506
2841,2,3,Rural,1952,276296.336853324
1920,2,3,Rural,1982,222212.132138893
1407,2,2,Urban,1956,221697.815740552
1524,2,3,Suburb,1951,223582.384880344
1827,3,2,Urban,1983,206212.792586098
2529,4,1,Suburb,1953,214945.594770186
1902,3,2,Urban,1998,152143.296576199
2848,4,3,Urban,1966,376480.301519819
1035,3,3,Urban,2020,135298.445683502
1684,4,1,Urban,1961,160232.420308705
1019,2,2,Suburb,1993,70855.3707156337
1320,4,1,Suburb,1998,183736.727028391
2799,2,3,Suburb,2018,388318.721111638
1511,4,2,Suburb,1966,165073.715634185
1399,3,3,Rural,1987,213210.04341613
1653,5,2,Rural,2005,140382.872260405
1971,4,1,Urban,2010,260495.084691845
2906,3,1,Suburb,1981,385304.714490971
1470,5,3,Suburb,2005,144254.795943512
2166,3,1,Urban,1972,277469.107404781
2115,5,1,Urban,2015,252361.13148515
2377,2,3,Urban,2016,256202.996247845
1833,4,3,Suburb,1954,139343.727488553
2823,3,3,Suburb,1972,246154.687275571
1726,4,2,Suburb,2000,218372.930233533
2982,2,3,Rural,1974,309839.69209196
1853,2,2,Urban,1973,219293.010585375
1050,4,3,Suburb,1979,203482.188912417
2688,3,2,Urban,2000,220036.030482507
2721,3,3,Rural,1979,365466.452784723
1574,3,2,Urban,2021,125013.145143305
2213,4,1,Suburb,1995,234126.805669406
2148,3,3,Urban,2006,213331.202284654
1149,3,3,Suburb,1978,91677.1743135704
1313,5,2,Rural,2011,262434.521729338
1569,3,1,Rural,1978,184359.538074119
2365,2,1,Suburb,1986,323820.040568234
1304,3,2,Rural,1989,97808.5967510322
2715,4,3,Urban,2004,298075.952394504
1681,4,1,Rural,1975,128702.114814803
1837,3,3,Rural,1976,129730.197410957
2806,4,2,Rural,2000,326637.47531912
2077,4,3,Rural,1971,241442.143756707
2002,3,1,Suburb,2014,259033.569609116
1443,5,2,Rural,1987,299103.339826854
1612,5,1,Suburb,1950,127303.857431843
1992,5,3,Suburb,1964,210318.902863567
1263,5,3,Suburb,1960,188936.217999272
2076,2,2,Urban,2005,185380.129330674
2595,3,1,Urban,1987,294176.339807245
2003,4,1,Suburb,2003,198735.764074872
2643,4,1,Urban,1972,268807.848422587
1004,3,2,Rural,1986,65228.4516571818
2126,4,3,Urban,2000,262087.568540615
2219,2,3,Rural,2010,255398.748836005
1773,5,3,Urban,1971,200902.121007955
1876,3,1,Suburb,2015,237628.647642903
1991,4,2,Suburb,2004,201135.286095135
1883,2,1,Urban,2016,327202.414423708
2373,4,2,Rural,1975,313572.851840321
1046,2,1,Rural,1987,161735.089599884
1866,4,2,Suburb,1999,135186.940876166
1822,5,1,Rural,1972,206442.252516522
1935,3,1,Suburb,2002,176508.475145463
2843,5,2,Urban,1988,295895.558071367
1655,5,3,Urban,1972,215023.383260443
1268,4,3,Urban,2015,145269.20365726
1369,5,2,Suburb,1977,156946.238867171
1635,3,2,Urban,2009,246606.272468722
2129,2,3,Rural,2016,194238.864044893
2693,2,1,Suburb,1959,281991.702008573
2682,4,3,Rural,1983,258071.88013024
1656,3,2,Urban,1950,149913.010635621
1119,3,1,Suburb,1986,118571.524300817
1830,2,2,Suburb,2017,258490.794909662
2810,2,3,Suburb,2020,237178.03687268
2627,5,1,Urban,2016,283416.611763665
2081,4,3,Suburb,2007,234682.711045437
2974,2,3,Suburb,1965,236267.062324565
2369,2,3,Urban,2013,220216.971334884
1740,3,1,Urban,1977,231805.269628839
2497,3,3,Rural,2019,293908.293684678
1116,3,1,Rural,1977,148823.046327088
2853,2,3,Rural,1967,317837.861414173
1790,4,3,Suburb,1992,311154.731874436
2150,5,2,Urban,1963,256000.160592476
2416,4,3,Rural,1971,215724.194974514
2931,2,1,Rural,1963,249356.736747877
2012,5,2,Urban,1968,223423.0822957
2664,4,1,Suburb,1968,272864.800984536
2081,2,3,Urban,1988,202344.325556294
1633,4,2,Urban,1982,228849.233637042
1512,2,2,Urban,1987,240983.242049549
2774,3,2,Suburb,1981,289649.301504629
1801,4,1,Rural,1963,144200.254722847
2119,3,2,Rural,1972,257560.474236117
2661,3,2,Suburb,1975,273196.620652391
2141,5,1,Urban,1999,235009.577504149
1559,5,1,Urban,2018,166047.690620774
2624,4,1,Rural,2004,258771.596189881
1487,2,3,Rural,2016,96385.9182789763
2260,5,1,Urban,1969,246585.67000113
2908,5,1,Suburb,2005,304455.991874388
1896,3,2,Rural,1964,171955.104831796
2295,3,3,Suburb,2008,175119.209364813
2212,2,2,Suburb,2006,273977.795990314
1703,5,1,Urban,1980,133660.820964675
2470,5,1,Suburb,2018,276587.187051074
1580,2,2,Urban,1963,199265.552169721
1789,5,3,Suburb,1971,133679.266229961
1860,4,3,Rural,1996,187289.184401616
1246,4,2,Urban,1991,195380.252224088
2986,2,1,Urban,2020,290467.526590344
2099,3,3,Urban,2010,125993.072655615
1153,2,3,Urban,1954,164864.486516976
2679,4,2,Rural,1973,271131.695959195
2458,5,3,Urban,1963,272401.709210253
1996,5,1,Urban,1997,214623.927541952
2109,3,2,Rural,1964,270288.248769435
1696,3,3,Suburb,1977,263720.901736535
2308,4,1,Rural,1982,343733.461260218
